species
Halichoeres marginatus
Halichoeres nebulosus
Halichoeres scapularis
Halieutichthys aculeatus
Haliophis guttatus
Halobatrachus didactylus
Halosauropsis macrochir
Halosaurus guentheri
Halosaurus johnsonianus
Halosaurus ovenii
Haplophryne mollis
Haptenchelys texis
Harengula clupeola
Hazeus ingressus
Helicolenus dactylopterus
Helicolenus lahillei
Hemichromis bimaculatus
Hemigymnus melapterus
Hemiramphus balao
Heniochus diphreutes
Heniochus intermedius
Heniochus varius
Heptranchias perlo
Herklotsichthys punctatus
Herklotsichthys quadrimaculatus
Herwigia kreffti
Heteroconger longissimus
Heteromycteris proboscideus
Heterophotus ophistoma
Heteropriacanthus cruentatus
Hexanchus griseus
Hexanchus nakamurai
Hexanchus vitulus
Himantolophus albinares
Himantolophus brevirostris
Himantolophus compressus
Himantolophus groenlandicus
Himantura uarnak
Hippocampus algiricus
Hippocampus erectus
Hippocampus fuscus
Hippocampus guttulatus
Hippocampus hippocampus
Hippocampus kelloggi
Hippocampus kuda
Hippoglossoides platessoides
Hippoglossus hippoglossus
Hirundichthys affinis
Hirundichthys rondeletii
Hirundichthys speculiger
Histiobranchus bathybius
Histiopterus typus
Histrio histrio
Holacanthus ciliaris
Holcomycteronus squamosus
Holocentrus adscensionis
Hologymnosus annulatus
Hologymnosus doliatus
Holtbyrnia anomala
Holtbyrnia innesi
Holtbyrnia macrops
Hoplostethus atlanticus
Hoplostethus cadenati
Hoplostethus mediterraneus
Hoplunnis punctata
Hoplunnis similis
Hoplunnis tenuis
Howella brodiei
Howella sherborni
Huso huso
Hygophum benoiti
Hygophum hygomii
Hygophum macrochir
Hygophum reinhardtii
Hygophum taaningi
Hymenocephalus billsam
Hymenocephalus italicus
Hymenogadus gracilis
Hyperoglyphe japonica
Hyperoglyphe perciformis
Hyperoplus immaculatus
Hyperoplus lanceolatus
Hypleurochilus bananensis
Hypoatherina temminckii
Hyporhamphus affinis
Hyporhamphus picarti
Hyporhamphus quoyi
Hyporthodus haifensis
Hyporthodus nigritus
Iberochondrostoma almacai
Icelus bicornis
Ichthyococcus ovatus
Idiacanthus atlanticus
Idiacanthus fasciola
Ijimaia loppei
Ilyophis blachei
Ilyophis brunneus
Iniistius melanopus
Iniistius pavo
Iniistius pentadactylus
Inimicus filamentosus
Ipnops murrayi
Istiblennius rivulatus
Istigobius decoratus
Istigobius ornatus
Istiompax indica
Istiophorus albicans
Istiophorus platypterus
Isurus oxyrinchus
Isurus paucus
Japonoconger africanus
Jaydia queketti
Jaydia smithi
Kajikia albida
Kali indica
Kali kerberti
Kali macrodon
Kali macrura
Katsuwonus pelamis
Kaupichthys hyoproroides
Kaupichthys nuchalis
Knipowitschia cameliae
Knipowitschia caucasica
Knipowitschia longecaudata
Knipowitschia panizzae
Konosirus punctatus
Kuhlia mugil
Kyphosus incisor
Kyphosus sectatrix
Labichthys carinatus
Labrisomus nuchipinnis
Labroides bicolor
Labroides dimidiatus
Labrus bergylta
Labrus merula
Labrus mixtus
Labrus viridis
Lactophrys trigonus
Lactoria cornuta
Laemonema barbatulum
Laemonema laureysi
Laemonema melanurum
Laemonema yarrellii
Lagocephalus guentheri
Lagocephalus laevigatus
Lagocephalus lagocephalus
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Lamna nasus
Lampadena anomala
Lampadena chavesi
Lampadena luminosa
Lampadena pontifex
Lampanyctus alatus
Lampanyctus crocodilus
Lampanyctus festivus
Lampanyctus intricarius
Lampanyctus macdonaldi
Lampanyctus nobilis
Lampanyctus photonotus
Lampanyctus pusillus
Lampetra fluviatilis
Lampetra lanceolata
Lampris guttatus
Lamprogrammus exutus
Lamprogrammus niger
Lamprogrammus shcherbachevi
Lappanella fasciata
Lebetus guilleti
Lebetus patzneri
Lebetus scorpioides
Leiognathus berbis
Lepadogaster candolii
Lepadogaster lepadogaster
Lepadogaster purpurea
Lepidion eques
Lepidion guentheri
Lepidion inosimae
Lepidion lepidion
Lepidion schmidti
Lepidocybium flavobrunneum
Lepidophanes gaussi
Lepidophanes guentheri
Lepidopus caudatus
Lepidorhombus boscii
Lepidorhombus whiffiagonis
Lepidotrigla cadmani
Lepidotrigla carolae
Lepidotrigla cavillone
Lepidotrigla dieuzeidei
Lepomis gibbosus
Leptagonus decagonus
Leptochilichthys agassizii
Leptoclinus maculatus
Leptoderma macrops
Leptoscarus vaigiensis
Leptostomias analis
Leptostomias gladiator
Leptostomias haplocaulus
Leptostomias longibarba
Lestidiops affinis
Lestidiops jayakari
Lestidiops pseudosphyraenoides
Lestidiops similis
Lestidiops sphyrenoides
Lestidium atlanticum
Lesueurigobius friesii
Lesueurigobius heterofasciatus
Lesueurigobius sanzi
Lesueurigobius suerii
Lethrinus atlanticus
Lethrinus borbonicus
Lethrinus harak
Lethrinus mahsena
Lethrinus nebulosus
Leucaspius delineatus
Leuciscus idus
Leuciscus leuciscus
Leucobrotula adipata
Leucoraja circularis
Leucoraja fullonica
Leucoraja melitensis
Leucoraja naevus
Lichia amia
Limanda limanda
Linophryne brevibarbata
Linophryne lucifer
Linophryne macrodon
Liopropoma susumi
Liparis fabricii
Liparis gibbus
Liparis montagui
Lipogenys gillii
Lipophrys pholis
Lipophrys trigloides
Lithognathus mormyrus
Liza aurata
Liza carinata
Liza dumerili
Liza falcipinnis
Liza grandisquamis
Liza ramada
Liza saliens
Lobianchia dofleini
Lobianchia gemellarii
Lobotes surinamensis
Lophiodes kempi
