spygen_code;pool;replicates;date
SPY201240;no;SPY201201/SPY201240;2020-05-22
SPY201241;no;SPY201239/SPY201241/SPY201247/SPY201248;2020-05-22
SPY201242;no;SPY200798/SPY200800/SPY201202/SPY201242;2020-05-21
SPY201243;no;SPY201212/SPY201243;2020-05-27
SPY201244;no;SPY201244/SPY201245;2020-05-21
SPY201245;no;SPY201244/SPY201245;2020-05-21
SPY201246;no;SPY201206/SPY201246;2020-05-22
SPY201247;no;SPY201239/SPY201241/SPY201247/SPY201248;2020-05-22
SPY201248;no;SPY201239/SPY201241/SPY201247/SPY201248;2020-05-22
SPY201249;no;SPY201249/SPY201279;2020-05-26
SPY201250;no;SPY201250/SPY201255;2020-05-26
SPY201251;no;SPY201251/SPY201256/SPY201275/SPY201280;2020-05-28
SPY201252;no;SPY201252/SPY201253/SPY201281/SPY201954;2020-06-26
SPY201253;no;SPY201252/SPY201253/SPY201281/SPY201954;2020-06-26
SPY201254;no;SPY201254/SPY201261/SPY201269/SPY201274;2020-05-28
SPY201255;no;SPY201250/SPY201255;2020-05-26
SPY201256;no;SPY201251/SPY201256/SPY201275/SPY201280;2020-05-28
SPY201257;no;SPY201257/SPY201283;2020-06-20
SPY201258;no;SPY201258/SPY201286;2020-06-20
SPY201259;no;SPY201259/SPY201265;2020-05-27
SPY201260;no;SPY201260/SPY201289;2020-05-26
SPY201261;no;SPY201254/SPY201261/SPY201269/SPY201274;2020-05-28
SPY201262;no;no;2020-06-25
SPY201263;no;SPY201216/SPY201263;2020-06-25
SPY201264;no;SPY201221/SPY201227/SPY201238/SPY201264;2020-06-03
SPY201265;no;SPY201259/SPY201265;2020-05-27
SPY201266;no;SPY201266/SPY201276;2020-05-29
SPY201268;no;no;2020-06-23
SPY201269;no;SPY201254/SPY201261/SPY201269/SPY201274;2020-05-28
SPY201270;no;SPY201270/SPY201271;2020-05-28
SPY201271;no;SPY201270/SPY201271;2020-05-28
SPY201272;no;no;2020-06-23
SPY201273;no;SPY201273/SPY201278;2020-06-19
SPY201274;no;SPY201254/SPY201261/SPY201269/SPY201274;2020-05-28
SPY201275;no;SPY201251/SPY201256/SPY201275/SPY201280;2020-05-28
SPY201276;no;SPY201266/SPY201276;2020-05-29
SPY201277;no;SPY201277/SPY201288;2020-06-24
SPY201278;no;SPY201273/SPY201278;2020-06-19
SPY201279;no;SPY201249/SPY201279;2020-05-26
SPY201280;no;SPY201251/SPY201256/SPY201275/SPY201280;2020-05-28
SPY201281;no;SPY201252/SPY201253/SPY201281/SPY201954;2020-06-26
SPY201282;no;SPY201282/SPY201287/SPY201945/SPY201946;2020-06-19
SPY201283;no;SPY201257/SPY201283;2020-06-20
SPY201284;no;SPY201217/SPY201233/SPY201234/SPY201284;2020-06-03
SPY201285;no;SPY201285/SPY201955;2020-06-22
SPY201286;no;SPY201258/SPY201286;2020-06-20
SPY201287;no;SPY201282/SPY201287/SPY201945/SPY201946;2020-06-19
SPY201288;no;SPY201277/SPY201288;2020-06-24
SPY201289;no;SPY201260/SPY201289;2020-05-26
SPY201290;no;SPY201214/SPY201219/SPY201235/SPY201290;2020-06-04
